"ID","PMNNO","ACCNO","GENERIC NAME","FL"
1,"P000005",232689,"Polymeric MDI based polyurethane (PROVISIONAL)","P; XU"
2,"P000006",278489,"Polymeric MDI based polyurethane (PROVISIONAL)","P; XU"
3,"P000008",164331,"Emulsion polymer (PROVISIONAL)","P; XU"
4,"P000009",257944,"Copolymer of acrylic esters, acrylic acid and dibromostyrene (PROVISIONAL)","P; XU"
5,"P000010",155421,"Polyurethane (PROVISIONAL)","P; XU"
6,"P000012",238676,"Reaction product of cashew nutshell liquid, phenols, formaldehyde, and substituted amines (PROVISIONAL)","P"
7,"P000015",245502,"Polyoxyalkylene polyester urethane block polymer, salt with phosphorylated polyester (PROVISIONAL)","P; XU"
8,"P000024",260470,"Aluminum alkylamide (PROVISIONAL)","P"
9,"P000028",173354,"Acrylic copolymer (PROVISIONAL)","P; XU"
10,"P000030",235279,"Modified polyacrylate (PROVISIONAL)","P; XU"
11,"P000035",250396,"Isocyanate-terminated polyurethane prepolymer (PROVISIONAL)","P; XU"
12,"P000038",245411,"Urethane acrylate (PROVISIONAL)","P; XU"
13,"P000042",242490,"N-Alkyl-4-alkylaminonaphthalene (PROVISIONAL)","P"
14,"P000043",276790,"N-Alkyl-4-alkylaminonaphthalene (PROVISIONAL)","P"
15,"P000044",256292,"N-Alkyl-4-alkylaminonaphthalene (PROVISIONAL)","P"
16,"P000046",230003,"Aromatic substituted diurea (PROVISIONAL)","P"
17,"P000051",145869,"Modified melamine alkyd resin (PROVISIONAL)","P; XU"
18,"P000055",177685,"Polyisobutylene oxime (PROVISIONAL)","P; XU"
19,"P000056",163305,"Polyisobutylene oxime (PROVISIONAL)","P; XU"
20,"P000057",250681,"Polyester acrylate (PROVISIONAL)","P; XU"
21,"P000058",266796,"Polyester acrylate (PROVISIONAL)","P; XU"
22,"P000064",230127,"Epoxy acrylate (PROVISIONAL)","P; XU"
23,"P000065",262396,"Amines, N-tallow, alkylpoly-, hydrochlorides (PROVISIONAL)","P"
24,"P000066",269182,"Amines, N-tallow, alkylpoly- (PROVISIONAL)","P"
25,"P000067",161887,"Alkyl heteropolycyclic-aniline","P; S"
26,"P000069",254398,"Nitrated, sulfonated aromatic acid chloride (PROVISIONAL)","P"
27,"P000071",267686,"Alkanepolycarboxylic acid, alkyl ester (PROVISIONAL)","P"
28,"P000072",141969,"Macrocyclic cobalt complex (PROVISIONAL)","P"
29,"P000080",169121,"Polymer of substituted aromatic triamine and phosphorous compound (PROVISIONAL)","P"
30,"P000081",168640,"Acrylic copolymer (PROVISIONAL)","P; XU"
31,"P000082",149327,"Silicone modified waterborne polyurethane dispersion (PROVISIONAL)","P; XU"
32,"P000083",139254,"Trimethylolpropane ester polymer (PROVISIONAL)","P; XU"
33,"P000084",138728,"Dimethyl ester of 2-2 oxo-1-(1,4-dihydro-2,3-dioxo-6-methoxyquinoxaline-7-yl carbamoyl-proplyazo)terephthalic acid (PROVISIONAL)","P"
34,"P000089",176900,"Alkyl methacrylate, alkylaminoalkylmethacrylamide copolymer (PROVISIONAL)","P; XU"
35,"P000090",261984,"Alkyl amine, polymer with branched aliphatic amine, diacrylate and bisphenol a - diglycidyl ether (PROVISIONAL)","P; XU"
36,"P000094",252187,"Salt of a substituted sulfonated aryl azo compound","P; S"
37,"P000095",238041,"Formaldehyde, polymer with an aliphatic polyamine (PROVISIONAL)","P; XU"
38,"P000096",255460,"Vinyl tripolymer (PROVISIONAL)","P; XU"
39,"P000099",268441,"Reaction product of fatty acid and dimethylaminoalkylamine","P"
40,"P000103",244010,"1,4-Butanediol, polymer with 2,4-diisocyanato-1-methylbenzene, 1,2-ethanediamine, polyol and 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane (PROVISIONAL)","P; XU"
41,"P000105",276427,"Silane terminated polymer (PROVISIONAL)","P; XU"
42,"P000107",153914,"Alkanedioic acid, polymer alkyl methacrylate, caprolactone homopolymer, isocyanate, polyester polyol, alkane diol, hydroxy alkyl methacrylate, alkenedioic acid and alkanediol homopolymer (PROVISIONAL)","P; XU"
43,"P000117",255642,"Mono-halo substituted alkene (PROVISIONAL)","P"
44,"P000118",243982,"Unsaturated dialkyl acetal (PROVISIONAL)","P"
45,"P000120",156888,"Hydroxy functional acrylic polymer (PROVISIONAL)","P; XU"
46,"P000160",249979,"Modified acrylate copolymer (PROVISIONAL)","P; XU"
47,"P000178",265997,"Acrylic copolymer (PROVISIONAL)","P; XU"
48,"P000186",274147,"Perfluorinated polyamine (PROVISIONAL)","P; XU"
49,"P000189",255960,"Modified polyurethane (PROVISIONAL)","P; XU"
50,"P000190",150562,"Amine functional acrylic polymer salted with an organic acid (PROVISIONAL)","P; XU"
51,"P000190",215942,"Amine functional acrylic polymer salted with an organic acid (PROVISIONAL)","P; XU"
52,"P000194",254810,"Amine functional acrylic polymer (PROVISIONAL)","P; XU"
53,"P000235",170015,"Urethane prepolymer (PROVISIONAL)","P; XU"
54,"P000262",262272,"Imidazole functional polyalkyl acrylate (PROVISIONAL)","P; XU"
55,"P000266",250807,"Acrylic acid, polymer with partial salt of acrylate ester (PROVISIONAL)","P; XU"
56,"P000267",241704,"Acrylic acid, polymer with partial salt of acrylate ester, reactionproduct with substituted polyglycol (PROVISIONAL)","P; XU"
57,"P000268",270269,"Acetyl heterocyclic compound (PROVISIONAL)","P"
58,"P000274",157494,"Amine-salted polyester resin (PROVISIONAL)","P; XU"
59,"P000275",164080,"Amine-salted polyester resin (PROVISIONAL)","P; XU"
60,"P000310",233193,"Acrylic polyester resin (PROVISIONAL)","P; XU"
61,"P000311",259019,"Alkyl phenol, potassium salt (PROVISIONAL)","P"
62,"P000317",256781,"Reaction products of fatty alcohols, (aminoethylaminopropyl)dialkoxymethylsilane, glycidol, and hydroxy-terminated polydimethylsiloxane","P; XU"
63,"P000319",258969,"Benzenedicarboxylic acid, alkyl alkylaminocarbonyloxyethyl ester (PROVISIONAL)","P"
64,"P000321",235848,"Polyamide amine epichlorohydrin resin (PROVISIONAL)","P; XU"
65,"P000322",277191,"Polyamide amine epichlorohydrin resin (PROVISIONAL)","P; XU"
66,"P000323",251457,"Polyamide amine epichlorohydrin resin (PROVISIONAL)","P; XU"
67,"P000324",242638,"Polyamide amine epichlorohydrin resin (PROVISIONAL)","P; XU"
68,"P000325",260732,"Polyamide amine resin (PROVISIONAL)","P; XU"
69,"P000326",241657,"Aliphatic urethane (PROVISIONAL)","P"
70,"P000327",274330,"Amine salt (PROVISIONAL)","P"
71,"P000328",250863,"Maleic anhydride polyester (PROVISIONAL)","P; XU"
72,"P000331",263195,"Vinylpyrrolidone vinylester copolymer (PROVISIONAL)","P; XU"
73,"P000335",252096,"Cyclic carboxylic acids, polymer with tetra hydroxy alkane, cyclic isocyanate, hydroxy substituted alkane, alkanedioic acid, alkanetriol, carboxylic acid, alkoxylated triol with alkanetriol, diacrylate, blocked (PROVISIONAL)","P; XU"
74,"P000336",248272,"Liquid anionic polymer (PROVISIONAL)","P; XU"
75,"P000337",243880,"Liquid anionic polymer (PROVISIONAL)","P; XU"
76,"P000342",165107,"Blocked isocyanate polymer (PROVISIONAL)","P; XU"
77,"P000344",250454,"Mixed polyol-glycerol fatty acid ester (PROVISIONAL)","P"
78,"P000345",264698,"Acrylic polymer (PROVISIONAL)","P; XU"
79,"P000346",247826,"Alkylated phenol (PROVISIONAL)","E; P"
80,"P000348",246710,"N,N'-Bis(octadecanoyl)hexylenediamine (PROVISIONAL)","P"
81,"P000349",166097,"Benzoic acid, 3,5-diamino-2,4-bis[[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]azo]-6-[[2-sulfo-4-[substituted]phenyl]azo]-, sodium salt (PROVISIONAL)","P"
82,"P000349",192893,"Benzoic acid, 3,5-diamino-2,4-bis[[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]azo]-6-[[2-sulfo-4-[substituted]phenyl]azo]-, sodium salt (PROVISIONAL)","P"
83,"P000350",251731,"Ketimine functional oligomer (PROVISIONAL)","P; XU"
84,"P000351",269626,"Amino-hydroxysulfonaphthylazo-disubstituted phenyl azo benzene carboxylate salt","P; S"
85,"P000354",245988,"Polyester-polyvinyl modified MDI-based polyurethane (PROVISIONAL)","P; XU"
86,"P000356",267960,"Alkaryl sulfonic acid (PROVISIONAL)","P"
87,"P000357",276041,"Polyether-type polyurethane (PROVISIONAL)","P; XU"
88,"P000359",268736,"Alkylnapthalenesulfonic acid (PROVISIONAL)","P"
89,"P000362",244543,"1,1'-Methylenebis[isocyanatobenzene], polymer with polyether polyols, a polyester polyol, and a modified polyvinyl copolymer (PROVISIONAL)","P; XU"
90,"P000366",167556,"Polyolefin and polyamide (PROVISIONAL)","P; XU"
91,"P000367",154440,"Polyamide (PROVISIONAL)","P; XU"
92,"P000368",243313,"Benzenesulfonamide, alkylphenylsubstituted phenyl substituted carbonyl-","E; P; S"
93,"P000370",253737,"Alphatic alcohol (PROVISIONAL)","P"
94,"P000372",257739,"Acrylic monomer (PROVISIONAL)","P"
95,"P000377",272458,"Fluoroolefin copolymer (PROVISIONAL)","P; XU"
96,"P000378",250772,"Polyester-polyurethane-elastomer dispersion (PROVISIONAL)","P; XU"
97,"P000379",271819,"Blocked polyurethane resin, amine salt (PROVISIONAL)","P; XU"
98,"P000391",150357,"Propanenitrile, 3,3'-[[4-[[2-substituted-4-nitro-6-(trihalomethyl)phenyl]azo]phenyl]imino]bis- (PROVISIONAL)","P"
99,"P000394",273291,"Acrylic emulsion polymer (PROVISIONAL)","P; XU"
100,"P000401",262863,"Alkenedioic acid, polymer with dihydroxy dialkyl ether and branchedalkanoic acid (PROVISIONAL)","P; XU"
101,"P000407",273520,"Calcium fatty acid complex (PROVISIONAL)","P"
102,"P000408",242321,"Calcium fatty acid complex (PROVISIONAL)","P"
103,"P000409",269671,"Calcium fatty acid complex (PROVISIONAL)","P"
104,"P000410",236647,"Calcium fatty acid complex (PROVISIONAL)","P"
105,"P000411",272550,"Calcium fatty acid complex (PROVISIONAL)","P"
106,"P000414",270894,"Calcium fatty acid complex (PROVISIONAL)","P"
107,"P000415",165016,"Calcium fatty acid complex (PROVISIONAL)","P"
108,"P000416",249344,"Calcium fatty acid complex (PROVISIONAL)","P"
109,"P000420",250089,"Substituted phenylazo phenylazo phenol","P; S"
110,"P000422",237844,"Non volatile emulsion acrylic polymer (PROVISIONAL)","P; XU"
111,"P000423",277840,"Dinonylnaphthalenesulfonic acid compound with amine (PROVISIONAL)","P"
112,"P000424",263082,"Dinonylnaphthalenesulfonic acid compound with amine (PROVISIONAL)","P"
113,"P000426",148711,"Inorganic acid reaction product, with alkaline fluoride metal salts(PROVISIONAL)","P"
114,"P000431",260890,"Substituted alicyclic alkenyl benz[e]indolium salt (PROVISIONAL)","P"
115,"P000433",244043,"Amine neutralized phosphated polyester (PROVISIONAL)","P; XU"
116,"P000439",155998,"Polymer of acrylamido alkyl propane sulfonic acid ammonium salt andtwo acrylic monomers (PROVISIONAL)","P; XU"
117,"P000441",256509,"Alkyn glyceryl ether sulphonate (PROVISIONAL)","P; XU"
118,"P000443",250669,"Alkaryl polyoxyalkylene derivative (PROVISIONAL)","P; XU"
119,"P000444",262283,"Alkaryl polyoxyalkylene derivative (PROVISIONAL)","P; XU"
120,"P000445",153878,"Polyester polyol (PROVISIONAL)","P; XU"
121,"P000446",179385,"Polyester polyol (PROVISIONAL)","P; XU"
122,"P000447",246005,"Polyester polyol (PROVISIONAL)","P; XU"
123,"P000448",238483,"Titanium-aluminum complex on amorphous silica (PROVISIONAL)","P"
124,"P000454",231288,"Acrylate copolymer (PROVISIONAL)","P; XU"
125,"P000456",137678,"Fluoroelastomer (PROVISIONAL)","P; XU"
126,"P000457",266923,"Modified polyethercarboxylate (PROVISIONAL)","P; XU"
127,"P000458",262181,"Modified polyethercarboxylate (PROVISIONAL)","P; XU"
128,"P000459",273553,"Modified polyethercarboxylate (PROVISIONAL)","P; XU"
129,"P000460",276938,"Modified polyethercarboxylate (PROVISIONAL)","P; XU"
130,"P000461",234516,"Modified polyethercarboxylate (PROVISIONAL)","P; XU"
131,"P000462",232101,"Modified polyethercarboxylate (PROVISIONAL)","P; XU"
132,"P000463",276518,"Metal salt (PROVISIONAL)","P"
133,"P000465",257137,"Isocyanate terminated urethane polymer (PROVISIONAL)","P; XU"
134,"P000474",256827,"2-Propenoic acid, 2-methyl-, 2-(dimethylamino)ethyl ester, polymer with methyl 2-methyl-2-propenoate, acid salt (PROVISIONAL)","P; XU"
135,"P000477",240950,"Fatty acids, tall oil, polymers with 5-amino-1,3,3-trimethylcyclohexanemethanamine, dicarboxylic acid, fumarated rosin and pentaerythritol (PROVISIONAL)","P; XU"
136,"P000488",161934,"Crosslinked polymethylsiloxane (PROVISIONAL)","P; XU"
137,"P000490",236807,"Substituted acrylamides and acrylic acid copolymer","P; S"
138,"P000494",150426,"Copolymer of acrylic esters and styrene (PROVISIONAL)","P; XU"
139,"P000506",266989,"Sodium salt of a naphthalene azo dyestuff (PROVISIONAL)","P"
140,"P000509",256361,"Polyether polyurethane (PROVISIONAL)","P; XU"
141,"P000510",273359,"Vegetable oil, polymer with alkanedioic acid, alkanediol, hydroxyl substituted carboxylic acid, isocyanate, hydroxy substituted alkane and tetra hydroxy alkane, compd. with amine (PROVISIONAL)","P; XU"
142,"P000512",276596,"Mixed ammonium/sodium salt of a naphthalene azo dye (PROVISIONAL)","P"
143,"P000513",264256,"Arylazo substituted sulfonated naphthalene compound (PROVISIONAL)","P"
144,"P000516",252030,"Sulfonated dioxazine compound (PROVISIONAL)","P"
145,"P000520",272607,"Perfluoroalkyl epoxide (PROVISIONAL)","P"
146,"P000527",235020,"Polyester resin (PROVISIONAL)","P; XU"
147,"P000528",154188,"Alkali salts of aryl carboxylates (PROVISIONAL)","P"
148,"P000529",272823,"Terpolyamide of copolyamide (PROVISIONAL)","P; XU"
149,"P000534",139516,"Copolymer of alkyl acrylates (PROVISIONAL)","P; XU"
150,"P000536",266558,"Reaction product of: polyoxyalkylene solution with trimethylolpropane, 1,4-cyclohexane dimethanol, cyclic aliphatic anhydrides, trimellitic anhydride and block copolymers of ethylene oxide and propylene oxide (PROVISIONAL)","P; XU"
