"State Historical Tables for 2009
Released: November 23, 2010
Report Revised: April 2011
Next Update: November 2011",,,,,,,,,,,,
"Average Price by State by Provider, 1990-2009",,,,,,,,,,,,
Year,State,Industry Sector Category,Residential Price                        (Cents per kilowatthour),Commercial Price                    (Cents per kilowatthour),Industrial Price                   (Cents per kilowatthour),Other Price (Cents per kilowatthour),Transportation Price                (Cents per kilowatthour),Total Price (Cents per kilowatthour),,,,
1990,AK,Total Electric Industry,10.11,9.01,7.91,13.22,NA,9.48,,,,
1990,AL,Total Electric Industry,6.59,6.72,4.34,5.61,NA,5.57,,,,
1990,AR,Total Electric Industry,8.07,6.95,5.10,7.08,NA,6.70,,,,
1990,AZ,Total Electric Industry,9.04,8.29,5.58,5.41,NA,7.75,,,,
1990,CA,Total Electric Industry,9.98,9.46,7.28,4.53,NA,8.84,,,,
1990,CO,Total Electric Industry,7.02,5.67,4.49,7.28,NA,5.89,,,,
1990,CT,Total Electric Industry,10.01,9.11,7.55,12.83,NA,9.16,,,,
1990,DC,Total Electric Industry,6.10,6.35,5.16,5.78,NA,5.94,,,,
1990,DE,Total Electric Industry,8.39,6.91,4.51,10.33,NA,6.46,,,,
1990,FL,Total Electric Industry,7.77,6.66,5.08,6.83,NA,7.04,,,,
1990,GA,Total Electric Industry,7.46,7.33,4.83,8.11,NA,6.56,,,,
1990,HI,Total Electric Industry,10.26,10.18,7.57,9.40,NA,9.02,,,,
1990,IA,Total Electric Industry,7.81,6.27,3.98,6.04,NA,5.93,,,,
1990,ID,Total Electric Industry,4.87,4.25,2.62,4.65,NA,3.80,,,,
1990,IL,Total Electric Industry,9.92,7.77,5.40,6.70,NA,7.49,,,,
1990,IN,Total Electric Industry,6.87,6.05,4.07,8.08,NA,5.36,,,,
1990,KS,Total Electric Industry,7.83,6.64,4.94,8.17,NA,6.57,,,,
1990,KY,Total Electric Industry,5.69,5.37,3.58,4.69,NA,4.48,,,,
1990,LA,Total Electric Industry,7.41,7.05,4.19,6.88,NA,6.00,,,,
1990,MA,Total Electric Industry,9.66,8.56,7.89,10.90,NA,8.85,,,,
1990,MD,Total Electric Industry,7.22,6.71,5.10,8.31,NA,6.30,,,,
1990,ME,Total Electric Industry,9.30,8.03,5.96,10.85,NA,7.65,,,,
1990,MI,Total Electric Industry,7.83,8.14,5.85,9.98,NA,7.10,,,,
1990,MN,Total Electric Industry,6.80,5.98,4.14,6.72,NA,5.33,,,,
1990,MO,Total Electric Industry,7.36,6.46,4.95,6.81,NA,6.46,,,,
1990,MS,Total Electric Industry,6.89,7.21,4.65,8.03,NA,6.11,,,,
1990,MT,Total Electric Industry,5.45,4.68,2.87,4.26,NA,3.96,,,,
1990,NC,Total Electric Industry,7.84,6.42,4.77,7.00,NA,6.38,,,,
1990,ND,Total Electric Industry,6.26,6.45,4.79,3.66,NA,5.75,,,,
1990,NE,Total Electric Industry,6.23,5.73,4.19,6.39,NA,5.57,,,,
1990,NH,Total Electric Industry,10.34,9.50,7.47,12.74,NA,9.09,,,,
1990,NJ,Total Electric Industry,10.36,8.94,7.36,15.96,NA,9.08,,,,
1990,NM,Total Electric Industry,8.94,8.14,4.98,5.78,NA,7.10,,,,
1990,NV,Total Electric Industry,5.70,6.19,4.70,4.49,NA,5.38,,,,
1990,NY,Total Electric Industry,11.44,10.47,5.78,7.96,NA,9.37,,,,
1990,OH,Total Electric Industry,8.05,7.43,4.03,6.14,NA,5.89,,,,
1990,OK,Total Electric Industry,6.58,5.74,3.63,5.33,NA,5.48,,,,
1990,OR,Total Electric Industry,4.73,4.79,3.16,4.77,NA,4.18,,,,
1990,PA,Total Electric Industry,9.22,8.09,5.97,10.80,NA,7.65,,,,
1990,RI,Total Electric Industry,9.84,8.93,8.35,9.06,NA,9.15,,,,
1990,SC,Total Electric Industry,7.15,6.15,4.18,5.53,NA,5.59,,,,
1990,SD,Total Electric Industry,6.95,6.68,4.66,4.11,NA,6.13,,,,
1990,TN,Total Electric Industry,5.69,6.09,4.69,6.86,NA,5.31,,,,
1990,TX,Total Electric Industry,7.20,6.17,4.03,6.25,NA,5.78,,,,
1990,UT,Total Electric Industry,7.13,6.26,3.80,4.16,NA,5.46,,,,
1990,VA,Total Electric Industry,7.25,6.06,4.27,5.31,NA,6.03,,,,
1990,VT,Total Electric Industry,9.27,8.50,6.62,12.13,NA,8.28,,,,
1990,WA,Total Electric Industry,4.39,4.15,2.39,3.13,NA,3.40,,,,
1990,WI,Total Electric Industry,6.63,5.78,3.99,6.47,NA,5.37,,,,
1990,WV,Total Electric Industry,5.90,5.36,3.56,8.19,NA,4.73,,,,
1990,WY,Total Electric Industry,5.97,5.17,3.47,7.90,NA,4.21,,,,
1990,US-TOTAL,Total Electric Industry,7.83,7.34,4.74,6.40,NA,6.57,,,,
1990,AK,Full-Service Providers,10.11,9.01,7.91,13.22,NA,9.48,,,,
1990,AL,Full-Service Providers,6.59,6.72,4.34,5.61,NA,5.57,,,,
1990,AR,Full-Service Providers,8.07,6.95,5.10,7.08,NA,6.70,,,,
1990,AZ,Full-Service Providers,9.04,8.29,5.58,5.41,NA,7.75,,,,
1990,CA,Full-Service Providers,9.98,9.46,7.28,4.53,NA,8.84,,,,
1990,CO,Full-Service Providers,7.02,5.67,4.49,7.28,NA,5.89,,,,
1990,CT,Full-Service Providers,10.01,9.11,7.55,12.83,NA,9.16,,,,
1990,DC,Full-Service Providers,6.10,6.35,5.16,5.78,NA,5.94,,,,
1990,DE,Full-Service Providers,8.39,6.91,4.51,10.33,NA,6.46,,,,
1990,FL,Full-Service Providers,7.77,6.66,5.08,6.83,NA,7.04,,,,
1990,GA,Full-Service Providers,7.46,7.33,4.83,8.11,NA,6.56,,,,
1990,HI,Full-Service Providers,10.26,10.18,7.57,9.40,NA,9.02,,,,
1990,IA,Full-Service Providers,7.81,6.27,3.98,6.04,NA,5.93,,,,
1990,ID,Full-Service Providers,4.87,4.25,2.62,4.65,NA,3.80,,,,
1990,IL,Full-Service Providers,9.92,7.77,5.40,6.70,NA,7.49,,,,
1990,IN,Full-Service Providers,6.87,6.05,4.07,8.08,NA,5.36,,,,
1990,KS,Full-Service Providers,7.83,6.64,4.94,8.17,NA,6.57,,,,
1990,KY,Full-Service Providers,5.69,5.37,3.58,4.69,NA,4.48,,,,
1990,LA,Full-Service Providers,7.41,7.05,4.19,6.88,NA,6.00,,,,
1990,MA,Full-Service Providers,9.66,8.56,7.89,10.90,NA,8.85,,,,
1990,MD,Full-Service Providers,7.22,6.71,5.10,8.31,NA,6.30,,,,
1990,ME,Full-Service Providers,9.30,8.03,5.96,10.85,NA,7.65,,,,
1990,MI,Full-Service Providers,7.83,8.14,5.85,9.98,NA,7.10,,,,
1990,MN,Full-Service Providers,6.80,5.98,4.14,6.72,NA,5.33,,,,
1990,MO,Full-Service Providers,7.36,6.46,4.95,6.81,NA,6.46,,,,
1990,MS,Full-Service Providers,6.89,7.21,4.65,8.03,NA,6.11,,,,
1990,MT,Full-Service Providers,5.45,4.68,2.87,4.26,NA,3.96,,,,
1990,NC,Full-Service Providers,7.84,6.42,4.77,7.00,NA,6.38,,,,
1990,ND,Full-Service Providers,6.26,6.45,4.79,3.66,NA,5.75,,,,
1990,NE,Full-Service Providers,6.23,5.73,4.19,6.39,NA,5.57,,,,
1990,NH,Full-Service Providers,10.34,9.50,7.47,12.74,NA,9.09,,,,
1990,NJ,Full-Service Providers,10.36,8.94,7.36,15.96,NA,9.08,,,,
1990,NM,Full-Service Providers,8.94,8.14,4.98,5.78,NA,7.10,,,,
1990,NV,Full-Service Providers,5.70,6.19,4.70,4.49,NA,5.38,,,,
1990,NY,Full-Service Providers,11.44,10.47,5.78,7.96,NA,9.37,,,,
1990,OH,Full-Service Providers,8.05,7.43,4.03,6.14,NA,5.89,,,,
1990,OK,Full-Service Providers,6.58,5.74,3.63,5.33,NA,5.48,,,,
1990,OR,Full-Service Providers,4.73,4.79,3.16,4.77,NA,4.18,,,,
1990,PA,Full-Service Providers,9.22,8.09,5.97,10.80,NA,7.65,,,,
1990,RI,Full-Service Providers,9.84,8.93,8.35,9.06,NA,9.15,,,,
