Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10354393,1,"Saturday, November 12, 2011 18:35:52 UTC",60.8944,-150.3186,2.4,35.80,13,"Kenai Peninsula, Alaska"
ci,15075076,0,"Saturday, November 12, 2011 18:31:29 UTC",32.9157,-116.3592,2.4,10.10,86,"Southern California"
ci,15075068,0,"Saturday, November 12, 2011 18:28:23 UTC",32.6733,-115.7243,1.8,6.80,18,"Southern California"
us,c0006qxw,5,"Saturday, November 12, 2011 18:20:03 UTC",38.4094,43.3160,4.6,12.40,63,"eastern Turkey"
pr,11316008,0,"Saturday, November 12, 2011 18:11:41 UTC",17.8129,-66.9039,2.1,11.80, 5,"Puerto Rico region"
nc,71680191,0,"Saturday, November 12, 2011 18:07:22 UTC",38.8137,-122.8165,1.8,1.00, 9,"Northern California"
nc,71680171,1,"Saturday, November 12, 2011 18:02:12 UTC",38.8197,-122.8202,2.7,2.80,59,"Northern California"
nc,71680176,0,"Saturday, November 12, 2011 18:00:56 UTC",36.5867,-121.1855,1.1,5.20,12,"Central California"
ci,15075044,0,"Saturday, November 12, 2011 17:29:36 UTC",33.4992,-116.5727,1.1,9.20,34,"Southern California"
pr,11316007,0,"Saturday, November 12, 2011 16:22:06 UTC",17.9860,-65.4459,2.4,15.90, 3,"Puerto Rico region"
nc,71680151,1,"Saturday, November 12, 2011 15:39:34 UTC",38.8158,-122.8143,1.1,3.10,30,"Northern California"
nc,71680141,1,"Saturday, November 12, 2011 15:35:25 UTC",38.8265,-122.7960,1.9,2.10,35,"Northern California"
ci,15075036,0,"Saturday, November 12, 2011 15:18:39 UTC",33.6800,-116.7948,1.3,17.40,44,"Southern California"
ci,15075028,0,"Saturday, November 12, 2011 14:59:04 UTC",34.1977,-116.8990,1.6,17.30,14,"Southern California"
ak,10354361,1,"Saturday, November 12, 2011 14:56:05 UTC",61.6962,-150.7925,2.1,49.50,15,"Southern Alaska"
ak,10354346,2,"Saturday, November 12, 2011 13:51:11 UTC",60.2188,-151.7939,3.9,62.50,84,"Kenai Peninsula, Alaska"
ci,15075020,0,"Saturday, November 12, 2011 13:40:03 UTC",32.1592,-115.2592,2.9,12.50,12,"Baja California, Mexico"
ci,15075012,0,"Saturday, November 12, 2011 13:39:17 UTC",32.9095,-116.2343,1.9,8.30,70,"Southern California"
nc,71680116,1,"Saturday, November 12, 2011 13:10:59 UTC",36.6173,-121.2267,2.0,5.80,25,"Central California"
us,c0006qt9,3,"Saturday, November 12, 2011 12:52:02 UTC",10.7957,-62.4680,5.0,81.90,179,"offshore Sucre, Venezuela"
nc,71680101,1,"Saturday, November 12, 2011 12:32:08 UTC",37.7247,-122.1375,2.2,6.90,68,"San Francisco Bay area, California"
ci,15075004,0,"Saturday, November 12, 2011 12:31:55 UTC",34.3445,-118.4958,1.8,12.40,28,"Greater Los Angeles area, California"
pr,11316006,0,"Saturday, November 12, 2011 12:28:43 UTC",18.3439,-66.2220,2.8,52.30, 7,"Puerto Rico"
