"Retail prices for organic and conventional milk, monthly, 2004-07",,,,,,,,,,,,
Year,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
Dollars per half gallon,,,,,,,,,,,,
Organic price 1/,,,,,,,,,,,,
2004,3.24,3.25,3.23,3.27,3.19,3.21,3.25,3.26,3.21,3.22,3.26,3.23
2005,3.94,3.92,4.01,3.95,4.12,4.22,4.18,4.28,4.30,4.36,4.27,4.65
2006,4.31,4.33,4.23,4.28,4.20,4.17,4.28,4.28,4.36,4.16,4.28,4.32
2007,4.47,4.42,4.67,4.70,4.46,4.32,4.33,4.16,4.45,4.42,4.30,4.40
,,,,,,,,,,,,
Conventional price 1/,,,,,,,,,,,,
2004,1.64,1.62,1.61,1.64,1.86,1.91,1.86,1.74,1.71,1.72,1.72,1.70
2005,2.06,2.03,2.06,2.05,2.07,2.04,2.02,2.03,2.03,2.04,2.05,2.06
2006,2.05,2.04,2.03,1.98,1.99,1.97,1.97,1.98,1.97,2.01,1.98,2.01
2007,2.03,2.04,2.06,2.11,2.16,2.24,2.39,2.46,2.46,2.46,2.46,2.43
,,,,,,,,,,,,
,,,,,,,,,,,,
1/ Weighted averages of all milk purchased by Nielsen Homescan panelists during the month.,,,,,,,,,,,,
Source: ERS calculations using Nielsen Homescan data.,,,,,,,,,,,,
